Número de serie,Ubicación,Tipo de montaje,Inicio de actividad,Fin de actividad,Número de cámaras,Descripción de cámaras,Tipo Infraccion,Marca,Modelo,Geolocalizacion,latitud,longitud
5002,Av. Hipólito Yrigoyen y Int. Manuel Quindimil,Fija a poste,2018-08-01 00:00:00,,1,Cámara entorno y LPR,"Circular en contramano
Semaforo en Rojo
Falta patente trasera o fuera de lugar
Giro indebido
Detención indebida sobre senda peatonal
No respetar carril establecido
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.698404,-58.391974
5007,Av. 29 de Septiembre y Almte. Mariano Cordero 1 (Norte),Fija a poste,2019-07-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.734075,-58.390206
5005,Av.Hipólito Yrigoyen y Av. Remedios de Escalada de San Martín,Fija a poste,2018-11-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.692033,-58.389379
5004,Av. Hipólito Yrigoyen y Gral. Bernardo O'Higgings,Fija a poste,2018-09-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Falta patente trasera o fuera de lugar
Giro indebido
Detención indebida sobre senda peatonal
Circular en contramano
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.712783,-58.392619
5003,Av. Remedios de Escalada de San Martín y Pte.Tte. General Juan Domingo Perón,Fija a poste,2018-09-01 00:00:00,,1,Cámara entorno y LPR,"Circular en contramano
Semaforo en Rojo
Falta patente trasera o fuera de lugar
Giro indebido
Detención indebida sobre senda peatonal
No respetar carril establecido
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.665027,-58.417688
5006,Pres. Raúl Alfonsín y Pres. Domingo Faustino Sarmiento,Fija a poste,2018-12-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Circular en contramano
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.699028,-58.380203
5009,Av. 29 de Septiembre y Fray Mamerto Esquiú,Fija a poste,2019-07-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
No respetar carril establecido
",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.725397,-58.39024
5008,Av. 29 de Septiembre y Almte. Mariano Cordero 2 (Sur),Fija a poste,2019-07-01 00:00:00,,1,Cámara entorno y LPR,"Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.734072,-58.390201
5010,Av. Hipólito Yrigoyen y Riobamba,Fija a poste,2020-03-01 00:00:00,,1,Cámara entorno y LPR,"Circular en contramano
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
No respetar carril establecido
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.702502,-58.391941
5011,Gobernador Bernardo de Irigoyen & Avenida Hipólito Yrigoyen,Fija a poste,2021-11-01 00:00:00,,1,Cámara entorno y LPR,"Circular en contramano
Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.705585,-58.391861
5012,Av. Presidente Bernardino Rivadavia y Av. Remedios de Escalada de San Martín,Fija a poste,2021-07-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco
No respetar carril establecido
",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.679502,-58.404425
5013,Av. San Martín y Viamonte (hacia el sur),Fija a poste,2021-07-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco
No respetar carril establecido",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.696084,-58.408063
5018,Av. Hipólito Yrigoyen y Coronel Beltrán,Fija a poste,2021-04-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco
No respetar carril establecido",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.726019,-58.395542
5014,25 de Mayo y Av. San Martín (hacia el este),Fija a poste,2021-07-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco
No respetar carril establecido",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.704342,-58.415535
5015,25 de Mayo y Doctor Arturo Melo,Fija a poste,2021-12-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
No respetar carril establecido",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.707919,-58.394385
5016,Presidente Raul Alfonsin y Gral. Madariaga,Fija a poste,2021-11-01 00:00:00,,1,Cámara entorno y LPR,"Falta patente trasera o fuera de lugar
Semaforo en Rojo
Giro indebido
Detención indebida sobre senda peatonal
Manejo sin Casco",VIGIL / FR,ECO SAVVY 3.0,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.706698,-58.371507
330,Avenida Hipolito Yrigoyen 2868,Fija a poste,2022-07-01 00:00:00,,1,Cinemómetro,No respetar los límites reglamentarios de velocidad previstos,VIAL CONTROL - IVERO,IVERO V1-V,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.689631,-58.38838
331,Avenida Hipolito Yrigoyen 2817,Fija a poste,2022-07-01 00:00:00,,1,Cinemómetro,No respetar los límites reglamentarios de velocidad previstos,VIAL CONTROL - IVERO,IVERO V1-V,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.689205,-58.388396
332,Avenida Hipolito Yrigoyen 6533,Fija a poste,2022-10-01 00:00:00,,1,Cinemómetro,No respetar los límites reglamentarios de velocidad previstos,VIAL CONTROL - IVERO,IVERO V1-V,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.731173,-58.396677
333,Avenida Hipolito Yrigoyen 6576,Fija a poste,2022-10-01 00:00:00,,1,Cinemómetro,No respetar los límites reglamentarios de velocidad previstos,VIAL CONTROL - IVERO,IVERO V1-V,https://www.google.com/maps/d/edit?mid=112W8k6bQlh0grFG8FnA3Av8pKXDh6Rc&usp=sharing,-34.731639,-58.396591
