Tipo de infracción,Cantidad de infracciones
Circular a contramano,1
Circular a contramano,1
Circular a contramano,1
Circular a contramano,1
Circular a contramano,2
Circular a contramano,2
Circular a contramano,1
Circular a contramano,2
Circular a contramano,1
Circular a contramano,1
Circular a contramano,2
Circular a contramano,1
Circular a contramano,2
Circular a contramano,2
Circular a contramano,0
Circular a contramano,0
Circular a contramano,0
Circular a contramano,0
Circular a contramano,0
Circular a contramano,0
Cruzar con luz roja,464
Cruzar con luz roja,550
Cruzar con luz roja,419
Cruzar con luz roja,627
Cruzar con luz roja,728
Cruzar con luz roja,902
Cruzar con luz roja,379
Cruzar con luz roja,1080
Cruzar con luz roja,546
Cruzar con luz roja,629
Cruzar con luz roja,751
Cruzar con luz roja,553
Cruzar con luz roja,1085
Cruzar con luz roja,1054
Cruzar con luz roja,0
Cruzar con luz roja,0
Cruzar con luz roja,0
Cruzar con luz roja,0
Cruzar con luz roja,0
Cruzar con luz roja,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,1
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,1
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,1
Falta patente trasera o fuera de lugar,1
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Falta patente trasera o fuera de lugar,0
Giro indebido,2
Giro indebido,2
Giro indebido,2
Giro indebido,2
Giro indebido,3
Giro indebido,3
Giro indebido,1
Giro indebido,4
Giro indebido,2
Giro indebido,2
Giro indebido,3
Giro indebido,2
Giro indebido,4
Giro indebido,4
Giro indebido,0
Giro indebido,0
Giro indebido,0
Giro indebido,0
Giro indebido,0
Giro indebido,0
No detenerse en línea de frenado o sobre senda peatonal,562
No detenerse en línea de frenado o sobre senda peatonal,665
No detenerse en línea de frenado o sobre senda peatonal,507
No detenerse en línea de frenado o sobre senda peatonal,760
No detenerse en línea de frenado o sobre senda peatonal,882
No detenerse en línea de frenado o sobre senda peatonal,1092
No detenerse en línea de frenado o sobre senda peatonal,459
No detenerse en línea de frenado o sobre senda peatonal,1308
No detenerse en línea de frenado o sobre senda peatonal,662
No detenerse en línea de frenado o sobre senda peatonal,761
No detenerse en línea de frenado o sobre senda peatonal,909
No detenerse en línea de frenado o sobre senda peatonal,669
No detenerse en línea de frenado o sobre senda peatonal,1314
No detenerse en línea de frenado o sobre senda peatonal,1276
No detenerse en línea de frenado o sobre senda peatonal,0
No detenerse en línea de frenado o sobre senda peatonal,0
No detenerse en línea de frenado o sobre senda peatonal,0
No detenerse en línea de frenado o sobre senda peatonal,0
No detenerse en línea de frenado o sobre senda peatonal,0
No detenerse en línea de frenado o sobre senda peatonal,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,1
No respetar carril establecido,0
No respetar carril establecido,1
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,1
No respetar carril establecido,1
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
No respetar carril establecido,0
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),1
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),2
Sin casco y/o chaleco reflectante (moto),0
Sin casco y/o chaleco reflectante (moto),0
Sin casco y/o chaleco reflectante (moto),0
Sin casco y/o chaleco reflectante (moto),0
Sin casco y/o chaleco reflectante (moto),0
Sin casco y/o chaleco reflectante (moto),0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,0
Exceso de Velocidad,822
Exceso de Velocidad,2026
Exceso de Velocidad,714
Exceso de Velocidad,851
Exceso de Velocidad,0
Exceso de Velocidad,0
Estacionamiento indebido,0
Estacionamiento indebido,0
Estacionamiento indebido,0
